statenum,year,percentage,State
1,1993,0.2,AK
1,1994,0.2,AK
1,1995,0.1833333333,AK
1,1996,0.1833333333,AK
1,1997,0.2166666667,AK
1,1998,0.2166666667,AK
1,1999,0.1833333333,AK
1,2000,0.1833333333,AK
1,2001,0.2,AK
1,2002,0.2,AK
1,2003,0.1833333333,AK
1,2004,0.1833333333,AK
1,2005,0.1833333333,AK
1,2006,0.1833333333,AK
1,2007,0.2,AK
1,2008,0.2,AK
1,2009,0.25,AK
1,2010,0.25,AK
1,2011,0.2166666667,AK
2,1993,0.07857142857,AL
2,1994,0.07857142857,AL
2,1995,0.08571428571,AL
2,1996,0.08571428571,AL
2,1997,0.08571428571,AL
2,1998,0.08571428571,AL
2,1999,0.09285714286,AL
2,2000,0.09285714286,AL
2,2001,0.09285714286,AL
2,2002,0.09285714286,AL
2,2003,0.07857142857,AL
2,2004,0.07857142857,AL
2,2005,0.07857142857,AL
2,2006,0.07857142857,AL
2,2007,0.07857142857,AL
2,2008,0.07857142857,AL
2,2009,0.07857142857,AL
2,2010,0.07857142857,AL
2,2011,0.1071428571,AL
3,1993,0.02222222222,AR
3,1994,0.02222222222,AR
3,1995,0.02222222222,AR
3,1996,0.02222222222,AR
3,1997,0.02222222222,AR
3,1998,0.02222222222,AR
3,1999,0.04444444444,AR
3,2000,0.04444444444,AR
3,2001,0.03703703704,AR
3,2002,0.03703703704,AR
3,2003,0.03703703704,AR
3,2004,0.03703703704,AR
3,2005,0.02962962963,AR
3,2006,0.02962962963,AR
3,2007,0.03703703704,AR
3,2008,0.03703703704,AR
3,2009,0.05185185185,AR
3,2010,0.05185185185,AR
3,2011,0.06666666667,AR
4,1993,0.03333333333,AZ
4,1994,0.03333333333,AZ
4,1995,0.04444444444,AZ
4,1996,0.04444444444,AZ
4,1997,0.05555555556,AZ
4,1998,0.05555555556,AZ
4,1999,0.05555555556,AZ
4,2000,0.05555555556,AZ
4,2001,0.07777777778,AZ
4,2002,0.07777777778,AZ
4,2003,0.1,AZ
4,2004,0.1,AZ
4,2005,0.08888888889,AZ
4,2006,0.08888888889,AZ
4,2007,0.08888888889,AZ
4,2008,0.08888888889,AZ
4,2009,0.07777777778,AZ
4,2010,0.07777777778,AZ
4,2011,0.07777777778,AZ
5,1993,0.05,CA
5,1994,0.05,CA
5,1995,0.04166666667,CA
5,1996,0.04166666667,CA
5,1997,0.05,CA
5,1998,0.05,CA
5,1999,0.05,CA
5,2000,0.05,CA
5,2001,0.03333333333,CA
5,2002,0.03333333333,CA
5,2003,0.04166666667,CA
5,2004,0.04166666667,CA
5,2005,0.03333333333,CA
5,2006,0.03333333333,CA
5,2007,0.01666666667,CA
5,2008,0.01666666667,CA
5,2009,0.025,CA
5,2010,0.025,CA
5,2011,0.01666666667,CA
6,1993,0.06,CO
6,1994,0.06,CO
6,1995,0.07,CO
6,1996,0.07,CO
6,1997,0.1,CO
6,1998,0.1,CO
6,1999,0.1,CO
6,2000,0.1,CO
6,2001,0.08,CO
6,2002,0.08,CO
6,2003,0.06,CO
6,2004,0.06,CO
6,2005,0.02,CO
6,2006,0.02,CO
6,2007,0.05,CO
6,2008,0.05,CO
6,2009,0.06,CO
6,2010,0.06,CO
6,2011,0.06,CO
7,1993,0.04812834225,CT
7,1994,0.04812834225,CT
7,1995,0.05882352941,CT
7,1996,0.05882352941,CT
7,1997,0.06417112299,CT
7,1998,0.06417112299,CT
7,1999,0.05347593583,CT
7,2000,0.05347593583,CT
7,2001,0.05347593583,CT
7,2002,0.05347593583,CT
7,2003,0.07486631016,CT
7,2004,0.07486631016,CT
7,2005,0.07486631016,CT
7,2006,0.07486631016,CT
7,2007,0.08021390374,CT
7,2008,0.08021390374,CT
7,2009,0.08021390374,CT
7,2010,0.08021390374,CT
7,2011,0.08021390374,CT
8,1993,0.1129032258,DE
8,1994,0.1129032258,DE
8,1995,0.09677419355,DE
8,1996,0.09677419355,DE
8,1997,0.09677419355,DE
8,1998,0.09677419355,DE
8,1999,0.1290322581,DE
8,2000,0.1290322581,DE
8,2001,0.1290322581,DE
8,2002,0.1290322581,DE
8,2003,0.1451612903,DE
8,2004,0.1451612903,DE
8,2005,0.1612903226,DE
8,2006,0.1612903226,DE
8,2007,0.1935483871,DE
8,2008,0.1935483871,DE
8,2009,0.1612903226,DE
8,2010,0.1612903226,DE
8,2011,0.1935483871,DE
9,1993,0.04375,FL
9,1994,0.04375,FL
9,1995,0.0375,FL
9,1996,0.0375,FL
9,1997,0.0375,FL
9,1998,0.0375,FL
9,1999,0.025,FL
9,2000,0.025,FL
9,2001,0.05625,FL
9,2002,0.05625,FL
9,2003,0.0625,FL
9,2004,0.0625,FL
9,2005,0.0625,FL
9,2006,0.0625,FL
9,2007,0.0875,FL
9,2008,0.0875,FL
9,2009,0.0625,FL
9,2010,0.0625,FL
9,2011,0.0875,FL
10,1993,0.05084745763,GA
10,1994,0.05084745763,GA
10,1995,0.0593220339,GA
10,1996,0.0593220339,GA
10,1997,0.06779661017,GA
10,1998,0.06779661017,GA
10,1999,0.07627118644,GA
10,2000,0.07627118644,GA
10,2001,0.07203389831,GA
10,2002,0.07203389831,GA
10,2003,0.06779661017,GA
10,2004,0.06779661017,GA
10,2005,0.07203389831,GA
10,2006,0.07203389831,GA
10,2007,0.06355932203,GA
10,2008,0.06355932203,GA
10,2009,0.0593220339,GA
10,2010,0.0593220339,GA
10,2011,0.07203389831,GA
11,1993,0.02631578947,HI
11,1994,0.02631578947,HI
11,1995,0.01315789474,HI
11,1996,0.01315789474,HI
11,1997,0.01315789474,HI
11,1998,0.01315789474,HI
11,1999,0.03947368421,HI
11,2000,0.03947368421,HI
11,2001,0.05263157895,HI
11,2002,0.05263157895,HI
11,2003,0.01315789474,HI
11,2004,0.01315789474,HI
11,2005,0.02631578947,HI
11,2006,0.02631578947,HI
11,2007,0.02631578947,HI
11,2008,0.02631578947,HI
11,2009,0.02631578947,HI
11,2010,0.02631578947,HI
11,2011,0.03947368421,HI
12,1993,0.08666666667,IA
12,1994,0.08666666667,IA
12,1995,0.06666666667,IA
12,1996,0.06666666667,IA
12,1997,0.06,IA
12,1998,0.06,IA
12,1999,0.06666666667,IA
12,2000,0.06666666667,IA
12,2001,0.07333333333,IA
12,2002,0.07333333333,IA
12,2003,0.09333333333,IA
12,2004,0.09333333333,IA
12,2005,0.1066666667,IA
12,2006,0.1066666667,IA
12,2007,0.1066666667,IA
12,2008,0.1066666667,IA
12,2009,0.12,IA
12,2010,0.12,IA
12,2011,0.1066666667,IA
13,1993,0.01904761905,ID
13,1994,0.01904761905,ID
13,1995,0.01904761905,ID
13,1996,0.01904761905,ID
13,1997,0.06666666667,ID
13,1998,0.06666666667,ID
13,1999,0.06666666667,ID
13,2000,0.06666666667,ID
13,2001,0.04761904762,ID
13,2002,0.04761904762,ID
13,2003,0.04761904762,ID
13,2004,0.04761904762,ID
13,2005,0.0380952381,ID
13,2006,0.0380952381,ID
13,2007,0.02857142857,ID
13,2008,0.02857142857,ID
13,2009,0.02857142857,ID
13,2010,0.02857142857,ID
13,2011,0.04761904762,ID
14,1993,0.07344632768,IL
14,1994,0.07344632768,IL
14,1995,0.07344632768,IL
14,1996,0.07344632768,IL
14,1997,0.0790960452,IL
14,1998,0.0790960452,IL
14,1999,0.06779661017,IL
14,2000,0.06779661017,IL
14,2001,0.06214689266,IL
14,2002,0.06214689266,IL
14,2003,0.0790960452,IL
14,2004,0.0790960452,IL
14,2005,0.08474576271,IL
14,2006,0.08474576271,IL
14,2007,0.07344632768,IL
14,2008,0.07344632768,IL
14,2009,0.0790960452,IL
14,2010,0.0790960452,IL
14,2011,0.06779661017,IL
15,1993,0.1333333333,IN
15,1994,0.1333333333,IN
15,1995,0.1333333333,IN
15,1996,0.1333333333,IN
15,1997,0.1266666667,IN
15,1998,0.1266666667,IN
15,1999,0.1466666667,IN
15,2000,0.1466666667,IN
15,2001,0.1466666667,IN
15,2002,0.1466666667,IN
15,2003,0.1133333333,IN
15,2004,0.1133333333,IN
15,2005,0.1,IN
15,2006,0.1,IN
15,2007,0.08666666667,IN
15,2008,0.08666666667,IN
15,2009,0.08,IN
