state,statenum,squire_96,squire_03,squire_09,rank_96,rank_03,rank_09,group_96,group_03,group_09,avg_squire,avg_rank,avg_group
AK,1,0.232,0.227,0.217,12,11,12,2,2,2,0.225,13,2
AL,2,0.067,0.071,0.078,43,45,45,5,5,5,0.072,45,5
AR,3,0.104,0.106,0.11,39,41,40,4,5,4,0.107,41,5
AZ,4,0.185,0.232,0.271,18,10,8,2,1,1,0.229,11,2
CA,5,0.570,0.626,0.581,1,1,2,1,1,1,0.592,1,1
CO,6,0.172,0.202,0.199,21,14,16,3,2,2,0.191,16,2
CT,7,0.178,0.19,0.196,20,19,17,2,2,2,0.188,19,2
DE,8,0.151,0.148,0.159,26,26,29,3,3,3,0.153,27,3
FL,9,0.249,0.223,0.21,10,13,14,1,2,2,0.227,12,2
GA,10,0.107,0.116,0.116,37,37,38,4,4,4,0.113,39,4
HI,11,0.252,0.225,0.262,9,12,9,1,2,1,0.246,10,1
IA,12,0.164,0.17,0.167,23,22,24,3,3,3,0.167,23,3
ID,13,0.110,0.138,0.12,36,29,36,4,3,4,0.123,35,4
IL,14,0.236,0.261,0.281,11,8,6,2,1,1,0.259,9,1
IN,15,0.106,0.102,0.174,38,42,22,4,5,3,0.127,31,4
KS,16,0.067,0.125,0.14,43,34,31,5,4,4,0.111,40,4
KY,17,0.087,0.148,0.137,41,26,33,5,3,4,0.124,33,4
LA,18,0.144,0.129,0.163,29,33,26,3,4,3,0.145,28,3
MA,19,0.332,0.385,0.28,5,4,7,1,1,1,0.332,7,1
MD,20,0.189,0.194,0.189,16,18,19,2,2,2,0.191,17,2
ME,21,0.098,0.089,0.088,40,43,43,4,5,5,0.092,42,5
MI,22,0.516,0.342,0.461,2,5,4,1,1,1,0.440,3,1
MN,23,0.179,0.169,0.162,19,23,27,2,3,3,0.170,22,3
MO,24,0.198,0.174,0.194,14,21,18,2,3,2,0.189,18,2
MS,25,0.127,0.107,0.115,31,40,39,4,4,4,0.116,38,4
MT,26,0.073,0.076,0.079,42,44,44,5,5,5,0.076,44,5
NC,27,0.149,0.198,0.181,28,16,20,3,2,2,0.176,21,3
ND,28,0.058,0.051,0.049,47,49,49,5,5,5,0.053,49,5
NE,29,0.172,0.162,0.166,21,24,25,3,3,3,0.167,24,3
NH,30,0.034,0.027,0.031,50,50,50,5,5,5,0.031,50,5
NJ,31,0.320,0.244,0.221,6,9,11,1,1,2,0.262,8,1
NM,32,0.053,0.109,0.11,49,39,40,5,4,4,0.091,43,5
NV,33,0.161,0.138,0.159,24,29,29,3,3,3,0.153,26,3
NY,34,0.515,0.48,0.606,3,2,1,1,1,1,0.534,2,1
OH,35,0.315,0.304,0.38,7,7,5,1,1,1,0.333,6,1
OK,36,0.188,0.187,0.181,17,20,20,2,2,2,0.185,20,2
OR,37,0.153,0.159,0.172,25,25,23,3,3,3,0.161,25,3
PA,38,0.283,0.339,0.479,8,6,3,1,1,1,0.367,5,1
RI,39,0.113,0.133,0.134,35,31,34,4,4,4,0.127,32,4
SC,40,0.135,0.124,0.161,30,36,28,3,4,3,0.140,29,3
SD,41,0.065,0.064,0.068,46,47,47,5,5,5,0.066,47,5
TN,42,0.117,0.116,0.118,32,37,37,4,4,4,0.117,37,4
TX,43,0.215,0.199,0.21,13,15,14,2,2,2,0.208,14,2
UT,44,0.067,0.065,0.072,43,46,46,5,5,5,0.068,46,5
VA,45,0.150,0.131,0.138,27,32,32,3,4,4,0.140,30,3
VT,46,0.117,0.144,0.11,32,28,40,4,3,4,0.124,34,4
WA,47,0.198,0.197,0.212,14,17,13,2,2,2,0.202,15,2
WI,48,0.459,0.439,0.242,4,3,10,1,1,1,0.380,4,1
WV,49,0.116,0.125,0.121,34,34,35,4,4,4,0.121,36,4
WY,50,0.057,0.054,0.061,48,48,48,5,5,5,0.057,48,5
